player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
Shelden Williams,NJN,28.0,205.74,113.398,Duke,USA,2006,1,5,58,4.6,6.0,0.6,-9.5,0.127,0.195,0.114,0.5429999999999999,0.044,2011-12,2011,Big (proxy),4.5,4.6,0.5,0.522,0.142,-1.8,0.0999999999999996,0.0209999999999999,,,,,0
Sheldon Mac,WAS,24.0,198.12,90.7184,Miami (Fla.),USA,Undrafted,Undrafted,Undrafted,30,3.0,1.1,0.5,-8.7,0.015,0.115,0.143,0.518,0.078,2016-17,2016,Wing (proxy),,,,,,,,,,,,,0
Shelvin Mack,CHA,29.0,190.5,92.079176,Butler,USA,2011,2,34,57,7.5,1.8,3.2,-9.1,0.0139999999999999,0.069,0.179,0.489,0.241,2018-19,2018,Guard (proxy),6.9,2.4,3.9,0.518,0.175,-2.7,0.5999999999999996,-0.029,,,,,0
Sherman Douglas,NJN,34.0,182.88,81.64656,Syracuse,USA,1989,2,28,59,5.7,1.3,2.4,-6.2,0.023,0.06,0.185,0.478,0.243,2000-01,2000,Guard (proxy),6.0,1.5,1.7,0.586,0.181,-11.5,-0.2999999999999998,-0.1079999999999999,,,,,0
Sherron Collins,CHA,24.0,180.34,92.98636,Kansas,USA,Undrafted,Undrafted,Undrafted,20,0.9,0.3,0.4,-14.0,0.0,0.093,0.217,0.3339999999999999,0.19,2010-11,2010,Guard (proxy),,,,,,,,,,,,,0
Simone Fontecchio,UTA,27.0,200.66,94.800728,,Italy,Undrafted,Undrafted,Undrafted,52,6.3,1.7,0.8,-13.1,0.036,0.07,0.192,0.495,0.079,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
Sindarius Thornwell,ORL,26.0,193.04,97.52228,South Carolina,USA,2017,2,48,21,2.0,0.9,1.0,-2.0,0.013,0.067,0.11,0.414,0.135,2020-21,2020,Guard (proxy),1.0,0.7,0.3,0.485,0.105,-0.8,1.0,-0.071,,,,,0
Skal Labissiere,ATL,24.0,208.28,106.59412,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,0.105,0.155,0.139,0.588,0.106,2019-20,2019,Big (proxy),3.0,2.0,0.5,0.593,0.154,-8.3,2.8,-0.005,,,,,0
Skylar Mays,ATL,24.0,193.04,92.98636,Louisiana State,USA,2020,2,50,28,2.9,0.9,0.6,-12.9,0.022,0.091,0.149,0.589,0.12,2021-22,2021,Guard (proxy),3.8,1.1,0.9,0.569,0.186,1.4,-0.8999999999999999,0.02,,,,,0
Slava Medvedenko,ATL,28.0,208.28,114.758776,,Ukraine,Undrafted,Undrafted,Undrafted,14,3.0,1.0,0.1,-12.0,0.063,0.172,0.25,0.556,0.048,2006-07,2006,Big (proxy),3.8,1.8,0.3,0.49,0.191,-5.7,-0.7999999999999998,0.066,,,,,0
