Feature,Coefficient,Abs_Coefficient
cat__college_Notre Dame,0.0,0.0
cat__college_Northwestern,-0.0,0.0
cat__college_Northwest Florida State,-0.0,0.0
cat__college_Northeastern,0.0,0.0
cat__college_Northeast Mississippi Community College,0.0,0.0
cat__college_North Carolina-Charlotte,-0.0,0.0
cat__college_North Carolina State,-0.0,0.0
cat__college_Norfolk State,-0.0,0.0
cat__college_Missouri State,-0.0,0.0
cat__college_Nicholls State,0.0,0.0
cat__college_New Orleans,0.0,0.0
cat__college_New Mexico State,0.0,0.0
cat__college_New Mexico,-0.0,0.0
cat__college_Nevada-Reno,0.0,0.0
cat__college_Nevada-Las Vegas,0.0,0.0
cat__college_Nevada,-0.0,0.0
cat__college_Nebraska-Lincoln,-0.0,0.0
cat__college_Nebraska,0.0,0.0
cat__college_Navy,-0.0,0.0
cat__college_Murray State,-0.0,0.0
cat__college_Morehead State,-0.0,0.0
cat__college_Montana State,0.0,0.0
cat__college_Texas State,-0.0,0.0
